absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,fresh_snow_12h:cm,fresh_snow_24h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,pv_measurement
5.5,1.269,1069.25,0.0,0.0,880.05,0.0,275.17502,0.0,0.0,0.0,0.0,81.725,0.0,0.0,0.0,1.0,1014.825,0.0,1001.975,1008.15,0.0,0.0,73.3,1014.35,347.804,-39.399498,0.0,278.4,81.725,48814176.0,1.6,0.575,1.475,0.0
5.525,1.2722499,1160.0,0.0,0.0,1145.1749,0.0,275.17502,0.0,0.0,0.0,0.0,52.25,0.0,0.0,0.0,1.0,1014.8,0.0,1002.0,1008.2,0.0,0.0,74.0,1014.42505,96.794754,-39.7145,0.0,278.4,52.375,46692700.0,1.4,0.4,1.3499999,0.0
5.3500004,1.27975,3198.908,0.0,0.0,1589.3329,0.0,274.65,0.0,0.0,0.0,0.0,10.625,0.0,0.0,0.0,1.0,1014.2,0.0,1001.35,1007.55,0.0,0.0,82.25,1013.8,24.33875,-38.362,0.0,277.17502,15.425,41622800.0,2.3,0.95,2.1,0.0
5.3,1.28175,2844.6436,0.0,0.0,1226.1582,0.0,274.375,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,1.0,1014.3,0.0,1001.5,1007.7,0.0,0.0,81.45,1014.0,41.97025,-34.70025,0.0,277.1,9.05,41502700.0,2.025,0.75,1.875,0.0
5.25,1.2822499,8249.139,0.0,0.0,2139.475,0.0,274.32498,0.0,0.0,0.0,0.0,30.05,0.0,0.0,0.0,1.0,1014.2,0.0,1001.4,1007.65,0.0,0.0,80.8,1013.9,58.1565,-29.567501,0.0,277.2,44.699997,40874100.0,1.75,0.575,1.65,0.0
5.3,1.2815,6727.6,0.0,0.0,2803.225,0.0,274.45,0.0,0.0,0.0,0.0,69.675,0.0,0.0,0.0,1.0,1014.15,0.0,1001.3,1007.5,0.0,0.0,80.85,1013.8,73.025,-23.47125,0.0,277.375,94.325,39075276.0,1.275,0.32500002,1.25,0.0
5.4,1.281,1122.025,0.0,0.0,914.5,0.0,274.725,0.0,0.0,0.0,0.0,82.899994,0.0,0.0,0.0,1.0,1014.175,0.0,1001.3,1007.525,0.0,0.0,82.925,1013.8,86.939,-16.878,0.0,277.5,88.5,35346824.0,0.975,-0.1,0.95,0.0
5.55,1.27825,1083.3,0.0,0.0,711.95,0.0,275.15,0.0,0.0,0.0,0.0,69.325,0.0,0.0,0.0,1.0,1014.05,0.0,1001.2,1007.4,0.0,0.0,84.0,1013.675,100.321,-10.195499,0.0,277.65,69.7,34609000.0,0.975,-0.57500005,0.8,0.0
5.6,1.27275,1297.65,0.0,0.0,759.95,0.0,275.375,0.0,0.0,0.0,0.0,53.675,0.0,0.0,0.0,1.0,1013.85,0.0,1000.925,1007.125,0.0,0.0,83.0,1013.4,113.563,-3.78875,0.0,278.0,57.4,42726000.0,0.975,-0.7,0.65,0.0
5.7,1.2695,3968.85,15017.399,15.35,1405.325,0.0,275.65,9.725,17544.102,2.15,3851.625,54.75,0.0,0.0,0.75,0.75,1013.7,0.0,1000.775,1006.975,0.0,0.0,83.9,1013.2,126.989746,1.9955,0.0,278.225,72.225,46569850.0,0.9,-0.85,0.35,320.53999999999996
5.9,1.265,7635.025,144705.88,68.3,3240.575,0.0,276.1,40.775,90913.55,22.525,44395.5,68.825,0.0,0.0,1.0,0.0,1013.65,0.0,1000.675,1006.85,0.0,0.0,83.725,1013.07495,140.825,6.82175,0.0,278.34998,97.2,47555200.0,0.95,-0.9,-0.1,1868.02
6.125,1.2592499,8655.225,353872.56,126.425,5738.225,0.0,276.725,63.625,187858.25,41.65,115533.07,66.225,0.0,0.0,1.0,0.0,1013.55,0.0,1000.57495,1006.725,0.0,0.0,83.65,1012.92505,155.1575,10.373,0.0,278.575,98.175,48014350.0,1.0,-0.8,-0.575,437.58
6.3500004,1.2545,10421.6,530607.5,163.625,5119.525,0.0,277.25,62.825,227580.66,93.225,242817.9,50.725,0.0,0.0,1.0,0.0,1013.5,0.0,1000.475,1006.625,0.0,0.0,83.55,1012.775,169.9145,12.38375,0.0,278.925,92.625,49623550.0,1.15,-0.8,-0.85,2953.06
6.475,1.251,10425.2,609588.56,169.45,1274.7,0.0,277.6,52.425,207440.17,123.525,390204.12,34.2,0.0,0.0,1.0,0.0,1013.275,0.0,1000.25,1006.4,0.0,0.0,82.2,1012.55,184.87175,12.688749,0.0,279.425,66.65,51662850.0,1.7249999,-1.3,-1.15,2795.98
6.6499996,1.2492499,8641.352,571000.7,142.6,8020.933,0.0,277.95,47.149998,179220.5,106.55,414205.72,19.25,0.0,0.0,1.0,0.0,1012.75,0.0,999.8,1005.9,0.0,0.0,82.175,1012.05,199.73026,11.26125,0.0,279.85,38.525,50995050.0,2.175,-1.65,-1.4,2254.12
6.8,1.2492499,10455.5,423938.3,89.725,10164.8,0.0,278.25,37.225,151867.28,65.025,308832.1,17.325,0.0,0.0,1.0,0.0,1012.05005,0.0,999.05005,1005.15,0.0,0.0,83.475,1011.30005,214.22775,8.2215,0.0,280.2,34.65,48696224.0,2.35,-1.775,-1.525,1324.18
6.775,1.2515,3198.908,214840.44,31.525,1589.3329,0.0,278.2,16.025,95890.7,18.95,151113.08,0.0,0.0,0.0,1.0,0.25,1011.325,0.0,998.4,1004.525,0.0,0.0,84.825,1010.7,228.23474,3.80625,0.0,280.4,0.0,46010324.0,2.575,-2.175,-1.4,322.74
6.6,1.25775,3198.908,44909.977,0.925,1589.3329,0.0,277.8,0.25,29366.775,0.0,34111.273,0.0,0.0,0.0,0.25,1.0,1010.975,0.0,998.25,1004.35,0.0,0.0,87.025,1010.55,241.7845,-1.68125,0.0,280.3,0.0,42610950.0,2.025,-1.85,-0.7,2.86
6.225,1.26625,4373.9785,261.65,0.0,2793.9583,0.0,276.875,0.0,471.1,0.0,0.0,4.3250003,0.0,0.0,0.0,1.0,1010.375,0.0,997.725,1003.9,0.0,0.0,90.075,1010.1,255.05875,-7.9095,0.0,280.125,4.3250003,37406800.0,2.1,-2.1,-0.05,0.0
5.8500004,1.271,4769.7656,0.0,0.0,3199.7,0.75,275.925,0.0,0.0,0.0,0.0,17.525,0.0,0.0,0.0,1.0,1009.95,0.0,997.325,1003.5,0.075,0.0,91.125,1009.725,268.3495,-14.53575,0.0,280.0,17.525,35879776.0,1.925,-1.925,0.22500001,0.0
5.775,1.27175,3485.6235,0.0,0.0,2895.85,1.0,275.67502,0.0,0.0,0.0,0.0,52.125,0.0,0.0,0.0,1.0,1009.775,0.0,997.15,1003.35,1.275,0.0,89.15,1009.57495,282.03052,-21.204,0.0,279.9,52.25,38330824.0,1.55,-1.5,0.375,0.0
5.75,1.2695,2730.55,0.0,0.0,2231.9,1.0,275.7,0.0,0.0,0.0,0.0,89.4,0.0,0.0,0.0,1.0,1009.625,0.0,996.95,1003.125,0.35,0.0,85.65,1009.35,296.51874,-27.52375,0.0,279.7,89.8,42069250.0,1.25,-1.225,0.425,0.0
5.8,1.2655001,2126.4,0.0,0.0,1937.475,0.5,275.9,0.0,0.0,0.0,0.0,90.6,0.0,0.0,0.0,1.0,1009.5,0.0,996.8,1002.9,0.0,0.0,83.125,1009.1,312.21375,-33.0495,0.05,279.65002,91.825,44544450.0,1.075,-1.05,0.25,0.0
5.8,1.2625,2078.775,0.0,0.0,1831.0,0.0,275.9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1009.4,0.0,996.65,1002.8,0.0,0.0,81.725,1009.0,329.3505,-37.2825,0.22500001,279.75,100.0,46106100.0,1.4,-1.4,0.2,0.0
5.8500004,1.2605,2089.35,0.0,0.0,1820.1,0.0,276.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1009.2,0.0,996.4,1002.55,0.0,0.0,79.975,1008.725,347.78174,-39.7295,0.22500001,280.15,100.0,46604150.0,1.775,-1.775,-0.025000002,0.0
5.9,1.25875,1965.3,0.0,0.0,1909.775,0.0,276.125,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1009.025,0.0,996.3,1002.4,0.0,0.0,79.1,1008.6,96.837006,-40.04375,0.125,280.225,100.0,46942424.0,1.7,-1.6,-0.55,0.0
6.0,1.26025,6599.1,0.0,0.0,2390.625,0.0,276.32498,0.0,0.0,0.0,0.0,85.475,0.0,0.0,0.0,1.0,1008.0,0.0,995.25,1001.35,0.0,0.0,80.1,1007.55,24.432251,-38.680748,0.0,280.1,99.35,43629100.0,1.75,-1.75,-0.45,0.0
6.075,1.26,3157.0,0.0,0.0,2273.2,0.0,276.525,0.0,0.0,0.0,0.0,94.7,0.0,0.0,0.0,1.0,1007.55,0.0,994.775,1000.9,0.0,0.0,81.5,1007.075,42.1065,-35.00775,0.0,280.25,100.0,41072724.0,1.85,-1.85,-0.425,0.0
6.2,1.25875,3727.575,0.0,0.0,2112.4,0.0,276.75,0.0,0.0,0.0,0.0,97.95,0.0,0.0,0.0,1.0,1007.625,0.75,994.85,1000.975,0.0,0.0,83.35,1007.15,58.316,-29.86375,0.075,280.0,100.0,35027376.0,1.3,-0.95,-0.65,0.0
6.3,1.25875,3485.625,0.0,0.0,1831.45,0.0,277.05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1008.225,1.0,995.42505,1001.55,0.0,0.1,85.5,1007.725,73.1935,-23.75975,0.2,279.15002,100.0,15308750.0,0.925,0.625,0.099999994,0.0
6.5,1.25975,2306.6,0.0,0.0,1490.075,0.0,277.475,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1008.175,0.25,995.375,1001.55,0.0,0.1,89.55,1007.725,87.107254,-17.163,0.15,279.0,100.0,5201975.0,1.475,0.5,1.375,0.0
6.55,1.2595,1923.775,0.0,0.0,1227.525,0.0,277.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1008.325,0.0,995.525,1001.675,0.0,0.1,91.575,1007.825,100.482,-10.4817505,0.125,279.225,100.0,5531950.0,2.025,0.95,1.8,0.0
6.7,1.2572501,2001.0,0.0,0.0,1635.925,0.0,277.95,0.0,0.0,0.0,0.0,96.725,0.0,0.0,0.0,1.0,1008.5,0.0,995.7,1001.825,0.0,0.075,90.15,1008.0,113.71175,-4.08075,0.125,280.1,96.725,7976550.0,1.675,0.425,1.625,0.0
6.8250003,1.2544999,2621.375,12773.4,13.475,2120.95,0.0,278.275,9.275001,16682.45,1.7,3070.425,66.875,0.0,0.0,0.75,0.75,1008.725,0.0,995.92505,1002.05,0.0,0.0,89.175,1008.225,127.1205,1.6954999,0.0,280.8,66.875,18881324.0,1.2,-0.4,1.1,8.8
6.975,1.2505,2210.1,132776.66,63.9,1868.2,0.0,278.625,33.675,77261.3,31.925,60494.83,22.325,0.0,0.0,1.0,0.0,1008.9,0.0,996.07495,1002.175,0.0,0.0,88.375,1008.325,140.9315,6.51225,0.0,281.475,22.325,35619700.0,1.125,-0.975,0.575,225.93999999999997
7.375,1.24425,3198.908,335446.44,120.8,1589.3329,0.0,279.5,44.0,139725.03,84.375,209312.0,2.425,0.0,0.0,1.0,0.0,1009.15,0.0,996.3,1002.375,0.0,0.0,88.525,1008.5,155.23325,10.054501,0.0,281.95,2.425,41296800.0,1.0,-0.95,0.25,577.72
7.875,1.2405,2293.127,509349.5,157.55,1782.2083,0.0,280.5,49.575,168390.3,112.225,353939.03,37.8,0.0,0.0,1.0,0.0,1009.4,0.0,996.55,1002.6,0.0,0.0,89.7,1008.7,169.95325,12.059,0.0,282.1,41.85,40776424.0,0.57500005,-0.57500005,-0.05,932.3599999999999
8.275,1.239,1915.75,587402.44,163.3,1829.625,0.0,281.225,71.325,217595.45,49.775,291639.56,92.0,0.0,0.0,1.0,0.0,1009.475,0.0,996.7,1002.75,0.0,0.0,89.35,1008.85,184.87076,12.3615,0.05,282.35,94.875,39481124.0,0.45,-0.32500002,-0.25,796.18
8.4,1.239,2010.95,549109.4,136.675,1802.275,0.0,281.425,52.125,222181.6,12.575,112217.17,97.7,0.0,0.0,1.0,0.0,1009.675,0.0,996.925,1002.975,0.0,0.0,87.65,1009.05,199.69,10.936251,0.1,282.6,98.8,37503824.0,0.55,0.125,-0.5,566.72
8.25,1.24,2379.2,403903.3,84.65,1689.575,0.0,281.15,33.9,154800.47,13.325,46636.0,70.325,0.0,0.0,1.0,0.0,1010.0,0.0,997.225,1003.275,0.0,0.0,87.3,1009.375,214.15375,7.90275,0.05,282.525,74.8,36582400.0,0.85,0.0,-0.825,247.5
7.875,1.245,1983.5198,199893.83,28.45,1520.175,0.0,280.45,15.05,87994.65,7.2,36984.426,51.35,0.0,0.0,1.0,0.5,1010.3,0.0,997.5,1003.575,0.0,0.0,88.4,1009.7,228.13324,3.49475,0.0,282.425,51.35,39129750.0,1.0,-0.7,-0.7,54.779999999999994
7.45,1.25125,1637.6499,38244.152,0.375,1567.325,0.0,279.6,0.125,27228.324,0.0,12977.449,86.7,0.0,0.0,0.25,1.0,1010.55,0.0,997.775,1003.925,0.0,0.0,89.15,1010.05,241.6625,-1.98525,0.0,282.3,86.799995,38115276.0,1.1,-1.05,0.15,0.0
7.3500004,1.25375,1704.05,106.15,0.0,1595.775,0.0,279.4,0.0,203.775,0.0,0.0,94.975,0.0,0.0,0.0,1.0,1010.85,0.0,998.175,1004.3,0.0,0.0,88.649994,1010.45,254.92224,-8.20775,0.0,282.3,95.075,38500976.0,1.1,-0.725,0.825,0.0
7.25,1.2555001,1790.75,0.0,0.0,1675.55,0.75,279.15002,0.0,0.0,0.0,0.0,77.125,0.0,0.0,0.0,1.0,1011.15,0.0,998.525,1004.65,0.0,0.0,88.05,1010.8,268.20526,-14.8315,0.0,282.125,77.225,39597600.0,1.1750001,-0.55,1.0,0.0
7.1,1.2585,1889.9,0.0,0.0,1788.3,1.0,278.8,0.0,0.0,0.0,0.0,35.075,0.0,0.0,0.0,1.0,1011.3,0.0,998.8,1004.9,0.0,0.0,86.775,1011.1,281.88348,-21.5015,0.0,281.75,39.375,38988924.0,1.2,-0.375,1.1,0.0
6.8,1.2615,7424.552,0.0,0.0,6026.683,1.0,278.175,0.0,0.0,0.0,0.0,28.05,0.0,0.0,0.0,1.0,1011.45,0.0,998.9,1005.05,0.0,0.0,86.125,1011.225,296.37875,-27.82625,0.0,281.45,55.775,34628150.0,1.1500001,-0.35,1.075,0.0
6.5,1.2645,8942.45,0.0,0.0,7505.8,1.0,277.5,0.0,0.0,0.0,0.0,40.775,0.0,0.0,0.0,1.0,1011.7,0.0,999.1,1005.2,0.0,0.0,86.3,1011.4,312.094,-33.36075,0.0,281.1,81.025,32707576.0,1.1,-0.325,1.05,0.0
6.375,1.26675,9124.7,0.0,0.0,4568.6274,1.0,277.125,0.0,0.0,0.0,0.0,20.375,0.0,0.0,0.0,1.0,1011.75,0.0,999.125,1005.3,0.0,0.0,86.7,1011.475,329.2685,-37.60275,0.0,280.85,40.375,39402124.0,1.15,-0.52500004,1.025,0.0
6.3250003,1.2665,822.377,0.0,0.0,419.68323,1.0,277.05,0.0,0.0,0.0,0.0,26.275002,0.0,0.0,0.0,1.0,1011.9,0.0,999.25,1005.4,0.0,0.0,87.65,1011.6,347.7555,-40.055748,0.0,280.425,40.175,39590550.0,1.025,-0.5,0.875,0.0
6.1499996,1.2685,2304.1,0.0,0.0,896.30005,1.0,276.65,0.0,0.0,0.0,0.0,51.025,0.0,0.0,0.0,1.0,1012.0,0.0,999.275,1005.42505,0.0,0.0,88.2,1011.65,96.876,-40.36925,0.0,279.9,70.025,36789724.0,1.125,-0.9,0.725,0.0
6.0,1.2705,8119.625,0.0,0.0,4851.0,1.0,276.3,0.0,0.0,0.0,0.0,48.625,0.0,0.0,0.0,1.0,1012.07495,0.0,999.4,1005.6,0.0,0.0,87.1,1011.8,24.522,-38.99625,0.0,280.025,93.65,41546376.0,1.3499999,-1.3,0.35,0.0
5.95,1.2695,8195.0,0.0,0.0,5580.05,1.0,276.15002,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,1012.025,0.0,999.25,1005.425,0.0,0.0,86.85,1011.65,42.238,-35.3125,0.0,279.6,100.0,43092100.0,1.45,-1.45,0.05,0.0
5.9,1.26975,8017.575,0.0,0.0,6337.875,1.0,276.1,0.0,0.0,0.0,0.0,50.5,0.0,0.0,0.0,1.0,1011.725,0.0,998.975,1005.175,0.0,0.0,86.075,1011.375,58.471,-30.158,0.0,279.45,100.0,42835800.0,1.7,-1.7,0.0,0.0
6.0,1.2674999,8020.75,0.0,0.0,7713.9253,1.0,276.2,0.0,0.0,0.0,0.0,50.2,0.0,0.0,0.0,1.0,1011.4,0.0,998.675,1004.85,0.0,0.0,85.45,1011.05,73.3575,-24.04625,0.0,279.425,100.0,44219800.0,1.75,-1.75,-0.15,0.0
5.9,1.268,8958.15,0.0,0.0,7652.85,1.0,276.1,0.0,0.0,0.0,0.0,48.775,0.0,0.0,0.0,1.0,1011.05,0.0,998.35,1004.525,0.0,0.0,85.725,1010.725,87.27075,-17.446249,0.0,279.45,97.5,43682100.0,2.05,-2.05,-0.1,0.0
5.8250003,1.27,10134.7,0.0,0.0,7682.925,1.0,275.9,0.0,0.0,0.0,0.0,47.95,0.0,0.0,0.0,1.0,1010.775,0.0,998.0,1004.2,0.0,0.0,86.6,1010.4,100.638504,-10.766,0.0,279.325,95.85,41773676.0,2.2,-2.2,0.075,0.0
5.775,1.269,9522.551,0.0,0.0,7286.1,1.0,275.725,0.0,0.0,0.0,0.0,48.075,0.0,0.0,0.0,1.0,1010.55,0.0,997.675,1003.85,0.0,0.0,87.35,1010.075,113.856,-4.3702497,0.0,279.1,95.8,43391576.0,2.175,-2.175,0.05,1.54
5.8,1.2655001,9569.175,10591.175,11.65,6149.625,0.25,275.85,8.625,15505.75,2.65,4776.05,46.925,0.0,0.0,0.75,0.75,1010.15,0.0,997.2,1003.35,0.0,0.0,87.75,1009.55,127.24725,1.398,0.0,278.875,92.175,44342000.0,2.225,-2.225,-0.1,158.84
6.025,1.2605,9542.375,121364.95,59.675,4357.325,0.0,276.45,39.825,87195.8,23.6,47292.0,42.15,0.0,0.0,1.0,0.0,1009.825,0.0,996.875,1003.025,0.0,0.0,87.45,1009.225,141.03424,6.2055,0.0,278.775,80.975,43967650.0,2.225,-2.2,-0.15,1653.96
6.35,1.255,9494.9,317510.97,115.25,1978.8,0.0,277.175,51.25,163963.38,70.35,169194.1,24.375,0.0,0.0,1.0,0.0,1009.275,0.0,996.30005,1002.45,0.0,0.0,85.725,1008.55,155.305,9.739,0.0,279.25,44.125,44655900.0,2.55,-2.55,-0.5,2347.4
6.675,1.247,7787.927,488487.2,151.55,558.8082,0.0,278.05,48.125,178896.42,113.875,331657.6,29.95,0.0,0.0,1.0,0.0,1008.25,0.0,995.275,1001.35,0.0,0.0,83.2,1007.475,169.98825,11.7375,0.0,280.35,54.1,45351400.0,2.9,-2.8,-0.75,2719.64
