,pv_measurement
387,132.75284
388,351.0994
389,587.3211
390,564.9746
391,702.7266
392,997.561
393,1451.6787
394,1684.8293
395,1677.4559
396,1754.4961
397,1530.4883
398,1451.0479
399,987.92035
400,975.5011
401,956.0409
402,491.9427
403,217.32077
404,65.061905
405,2.8031368
406,-0.085267946
407,3.322824
408,-5.1714478
409,22.703978
410,125.282394
411,296.0916
412,711.7367
413,1850.7402
414,2893.613
415,3907.1099
416,4843.6216
417,5174.7197
418,5018.8467
419,4847.6997
420,4708.9487
421,4432.278
422,3814.8916
423,3188.7268
424,2386.834
425,1310.9402
426,616.91815
427,325.60223
428,142.66434
429,13.835766
430,6.123172
431,8.251966
432,0.37410247
433,24.038218
434,160.45427
435,406.37598
436,753.3729
437,1508.8187
438,1765.2192
439,2733.241
440,3898.3716
441,4464.9365
442,4026.627
443,2805.544
444,1702.6768
445,1110.7854
446,950.614
447,1165.6449
448,1117.9019
449,545.425
450,315.16956
451,142.2745
452,24.953203
453,10.415175
454,5.3379054
455,11.716894
456,-0.2614259
457,2.7997613
458,75.164764
459,181.68546
460,388.23877
461,963.23254
462,2138.397
463,3211.3894
464,3728.4307
465,4092.3267
466,4096.163
467,4324.2114
468,4218.2354
469,3958.644
470,3348.1758
471,2945.888
472,2293.642
473,1344.2042
474,697.03204
475,375.96216
476,139.39609
477,6.9621067
478,3.5274
479,9.877463
480,5.137662
481,39.11689
482,108.04943
483,302.42407
484,706.9696
485,1684.1885
486,2611.562
487,3472.8574
488,4157.1777
489,4610.2935
490,4880.353
491,4870.826
492,4757.4424
493,4386.7075
494,3698.061
495,3021.4883
496,2221.0876
497,1313.6001
498,646.17896
499,352.74118
500,129.54172
501,5.147956
502,-1.4745351
503,3.126075
504,0.9481094
505,10.203257
506,143.86118
507,438.46674
508,825.8966
509,1427.4961
510,2097.0237
511,3100.8584
512,4418.1226
513,4783.0796
514,4783.343
515,4443.9604
516,3593.9495
517,3568.816
518,2707.8884
519,1975.0566
520,1500.5698
521,750.92474
522,391.87125
523,227.99089
524,88.78848
525,-3.652557
526,-23.847101
527,-22.715958
528,-15.014064
529,-7.283891
530,14.476164
531,116.87088
532,250.80754
533,476.2489
534,879.506
535,1157.87
536,915.13806
537,850.08813
538,1438.8718
539,3056.6062
540,3357.0918
541,3304.962
542,2996.4302
543,2802.7139
544,1713.295
545,1198.5409
546,474.4104
547,249.51508
548,77.67587
549,30.26038
550,14.433243
551,16.609158
552,-9.518052
553,-0.025156975
554,25.513256
555,146.15627
556,74.82364
557,226.88168
558,416.5138
559,793.35144
560,1181.1299
561,1413.0608
562,1616.4994
563,1380.9397
564,1250.3083
565,1418.8712
566,2013.4645
567,2650.2568
568,1830.1307
569,1015.38916
570,481.15704
571,163.32889
572,56.73268
573,21.345917
574,-0.91342574
575,6.0049124
576,19.113792
577,36.42325
578,98.52669
579,341.86847
580,727.1292
581,1654.9812
582,2754.7554
583,3818.5964
584,3992.6997
585,4072.234
586,4200.118
587,3943.1865
588,3506.7234
589,2881.956
590,2445.7456
591,1808.6855
592,1233.2086
593,698.1925
594,250.6362
595,122.09959
596,13.403547
597,-27.286888
598,-27.871151
599,-38.63296
600,-0.62809324
601,19.511951
602,93.1306
603,327.8272
604,755.205
605,1458.7307
606,2364.4285
607,3116.995
608,4094.5054
609,4130.678
610,4494.6855
611,4953.7974
612,4680.79
613,4192.0005
614,3037.1548
615,1964.8109
616,1551.9827
617,879.4865
618,655.3296
619,355.9223
620,125.5435
621,5.8714886
622,1.8484361
623,10.122586
624,0.37576318
625,9.894703
626,101.49465
627,289.94592
628,435.38596
629,478.60727
630,455.6908
631,875.59265
632,992.4625
633,1170.9645
634,1531.7446
635,1299.741
636,1334.3494
637,968.12695
638,594.3286
639,865.166
640,608.4418
641,351.67593
642,172.48723
643,104.769615
644,31.597631
645,8.790823
646,2.9263132
647,-9.436412
648,-5.603177
649,1.3866115
650,46.014385
651,102.417496
652,133.43367
653,231.33813
654,339.59607
655,618.2292
656,763.3748
657,707.16205
658,637.81464
659,491.7499
660,764.69604
661,910.19916
662,877.13525
663,739.6493
664,583.60876
665,478.7164
666,333.06613
667,193.4887
668,41.766907
669,3.3997068
670,1.5113208
671,3.0306115
672,-17.953928
673,18.366821
674,189.58452
675,261.71405
676,605.86975
677,1229.9679
678,2510.8853
679,3078.4106
680,3563.0054
681,3841.0913
682,4127.4956
683,3934.3093
684,3614.2583
685,3384.8728
686,2687.2559
687,1734.5181
688,949.75867
689,752.1764
690,491.32874
691,311.22986
692,123.32994
693,-6.2442546
694,16.935814
695,-0.26848888
696,3.1679544
697,10.632394
698,41.589603
699,152.30649
700,247.83426
701,245.70831
702,418.78244
703,724.8203
704,1142.8512
705,2292.2864
706,2639.224
707,2946.1194
708,2975.9204
709,2697.1355
710,1687.927
711,1380.4476
712,820.5039
713,545.0831
714,316.97348
715,217.89671
716,88.15846
717,-0.30232882
718,3.1465259
719,3.9072928
