,pv_measurement
170,1.4495057
171,10.770652
172,18.195772
173,30.000256
174,52.018227
175,99.87212
176,164.1638
177,189.7897
178,227.52257
179,297.97125
180,349.22336
181,443.30948
182,383.7184
183,299.47122
184,202.62488
185,117.33802
186,54.904907
187,23.803913
188,1.1109512
189,0.55520093
190,0.15807493
191,0.25245464
192,0.55613136
193,0.49302372
194,11.5929785
195,43.94265
196,91.64984
197,169.01611
198,256.7083
199,395.88354
200,277.97925
201,314.81525
202,394.5213
203,402.38974
204,432.13672
205,485.21106
206,411.77805
207,250.13518
208,162.60883
209,112.583435
210,55.949615
211,12.393022
212,1.7481408
213,0.28029478
214,0.31290245
215,-0.24971685
216,0.43974426
217,0.35614938
218,3.9952896
219,13.626021
220,16.492817
221,38.42493
222,136.55122
223,272.37018
224,465.60992
225,500.59103
226,472.5443
227,497.0189
228,332.99396
229,254.35883
230,241.77904
231,188.42542
232,73.29975
233,49.06552
234,46.8189
235,25.454031
236,5.0004773
237,0.13546151
238,-0.15711772
239,-0.08628596
240,-0.09225281
241,0.18152101
242,4.6139746
243,22.691933
244,76.64117
245,185.3047
246,288.8121
247,386.6286
248,407.33847
249,342.58127
250,280.01974
251,373.12256
252,465.45856
253,415.6767
254,373.5399
255,260.69717
256,218.36873
257,146.05038
258,91.44251
259,37.8398
260,7.1926928
261,1.8526613
262,0.620938
263,1.1657946
264,0.31150904
265,0.24271737
266,14.469278
267,47.56464
268,109.28659
269,188.81444
270,253.07054
271,277.1981
272,381.26968
273,444.3953
274,509.974
275,449.02283
276,365.05423
277,259.74817
278,160.55159
279,85.13481
280,78.927444
281,56.81241
282,32.427113
283,14.047312
284,-0.046649516
285,-0.015124092
286,-1.0646302
287,-0.5035053
288,-0.6399736
289,-0.003915144
290,18.636507
291,42.844437
292,100.51988
293,182.32283
294,264.56403
295,279.73062
296,265.94452
297,381.1534
298,405.47403
299,417.02716
300,462.78802
301,426.73795
302,347.74667
303,284.04095
304,218.93231
305,130.4163
306,78.77493
307,41.209496
308,4.1673675
309,0.4294703
310,0.18009752
311,0.1226831
312,0.28530818
313,0.39177224
314,12.039624
315,45.179306
316,98.54793
317,157.55252
318,245.29752
319,329.54764
320,465.369
321,552.12024
322,584.20905
323,628.5766
324,595.75555
325,435.44836
326,304.65576
327,193.595
328,132.8843
329,85.01291
330,33.131622
331,18.473957
332,2.4601495
333,-0.15792216
334,-0.04735586
335,0.3919753
336,0.098472774
337,0.32467753
338,1.0606124
339,17.443615
340,59.87607
341,133.59763
342,165.30496
343,207.6414
344,283.21497
345,313.25635
346,290.06
347,358.4272
348,276.97778
349,230.3767
350,195.8955
351,148.82008
352,100.01877
353,103.792305
354,55.876884
355,29.969353
356,5.422309
357,0.836132
358,0.38229522
359,0.3399607
360,0.68409264
361,0.74077576
362,9.741335
363,48.845676
364,87.21771
365,133.32118
366,191.84067
367,234.07361
368,390.62723
369,541.81555
370,573.5403
371,668.89233
372,607.7723
373,414.3696
374,240.5035
375,225.45078
376,201.7803
377,155.08264
378,92.46052
379,29.769348
380,1.8279922
381,-0.15816224
382,-0.017593445
383,0.047576338
384,0.23392594
385,0.4259321
386,3.5769594
387,21.384182
388,51.090294
389,102.899414
390,134.2628
391,194.56833
392,251.19083
393,309.1358
394,336.8758
395,345.83383
396,371.806
397,310.81778
398,230.50932
399,187.24863
400,167.6287
401,141.27484
402,103.31168
403,39.826767
404,5.104433
405,-0.5054987
406,-0.5336889
407,-0.37355748
408,2.415988
409,5.609065
410,34.028576
411,104.32716
412,227.52423
413,425.87653
414,604.5569
415,783.98956
416,956.2002
417,1042.848
418,1001.54193
419,951.5291
420,970.01654
421,908.51917
422,719.0437
423,566.6686
424,406.4191
425,257.50452
426,140.87296
427,53.92252
428,14.30672
429,0.21791217
430,-0.0015430767
431,-0.20302826
432,-0.07786821
433,3.3069842
434,31.196766
435,105.77231
436,196.23328
437,355.61902
438,432.72055
439,540.35895
440,704.00745
441,850.5848
442,764.09546
443,549.21136
444,346.27597
445,286.99683
446,278.1945
447,285.46634
448,259.54575
449,144.42097
450,80.5258
451,34.79772
452,5.366485
453,0.90350294
454,-0.049776614
455,0.39031273
456,-0.03261273
457,0.91835546
458,20.074886
459,54.169125
460,118.181725
461,238.18164
462,430.97888
463,546.676
464,736.426
465,912.6856
466,929.0347
467,959.4449
468,936.1823
469,872.15674
470,711.36237
471,560.7108
472,424.14386
473,262.917
474,154.18254
475,60.804718
476,15.060232
477,-0.38760892
478,-0.47640467
479,0.07147517
480,1.1218269
481,3.5051882
482,30.27443
483,91.40993
484,212.25519
485,361.09885
486,503.32742
487,634.7658
488,783.3833
489,890.42664
490,918.1227
491,913.1748
492,889.3265
493,847.20844
494,695.8643
495,550.53033
496,406.32812
497,256.09647
498,139.01671
499,59.112286
500,10.879893
501,-1.0469025
502,-0.7105563
503,0.12855814
504,0.11053616
505,2.1429095
506,20.114061
507,76.36232
508,197.48564
509,284.3777
510,358.9791
511,622.80316
512,786.7199
513,865.08417
514,872.69836
515,810.02734
516,687.02954
517,749.15106
518,553.9575
519,378.34146
520,298.09375
521,165.5599
522,109.70236
523,46.944225
524,9.071132
525,0.4118145
526,-0.78171194
527,-2.1657126
528,-2.5005364
529,-2.4931898
530,5.8492436
531,25.768797
532,72.347466
533,124.806435
534,172.68164
535,241.14989
536,182.39935
537,147.40526
538,335.62405
539,781.7277
540,804.78204
541,822.33624
542,658.8528
543,524.16064
544,325.21152
545,207.41884
546,105.04056
547,46.824852
548,14.354345
549,3.064325
550,0.9326185
551,1.2045047
552,-1.226874
553,-1.6799661
554,-0.09298128
555,15.878021
556,15.280336
557,33.176132
558,66.85458
559,182.89897
560,269.88916
561,361.23785
562,396.76218
563,400.1456
564,372.5879
565,424.19534
566,458.42523
567,387.36328
568,306.88095
569,206.40356
570,121.18092
571,51.869144
572,9.712455
573,-0.3882175
574,-0.008480363
575,0.3555668
576,-0.8975297
577,1.8471316
578,27.810322
579,80.172745
580,184.54771
581,340.2765
582,546.01294
583,697.47406
584,829.1959
585,880.2151
586,909.7446
587,866.90497
588,800.74976
589,646.1627
590,561.06323
591,463.83954
592,321.6086
593,191.91107
594,76.02862
595,26.573917
596,-3.4335403
597,-10.606294
598,-4.6517224
599,-4.8633213
600,-0.9972856
601,1.2351507
602,27.570032
603,80.77678
604,168.32774
605,240.88127
606,372.21155
607,541.36633
608,747.11536
609,794.28687
610,896.10516
611,937.12354
612,879.726
613,754.20935
614,623.882
615,477.54086
616,303.47656
617,165.9786
618,119.21753
619,65.690605
620,16.342304
621,-0.521209
622,-0.77620256
623,0.19048816
624,-1.6796712
625,-0.39759627
626,18.70479
627,55.135387
628,92.290016
629,125.78474
630,182.95932
631,200.06984
632,250.12305
633,299.46805
634,339.16077
635,364.49698
636,355.18103
637,331.89935
638,244.13544
639,237.39
640,133.7493
641,75.14598
642,41.528885
643,12.031666
644,0.42787933
645,-1.1466181
646,0.9699561
647,-0.24149822
648,-2.0202117
649,0.85575
650,1.8207245
651,7.0964136
652,21.04929
653,44.211422
654,69.00219
655,178.07463
656,183.25354
657,161.00497
658,185.16367
659,252.21658
660,295.04825
661,300.85037
662,252.14178
663,225.93898
664,159.25975
665,122.94343
666,72.27986
667,26.430708
668,6.993476
669,0.13107216
670,-0.6465698
671,-0.5074177
672,-2.9014266
673,0.45188183
674,32.88105
675,74.10028
676,130.22247
677,219.6844
678,314.65546
679,445.12424
680,698.4241
681,782.9274
682,818.1654
683,788.6239
684,706.79193
685,660.3386
686,462.0466
687,311.0481
688,164.93771
689,164.35852
690,92.000206
691,38.937386
692,7.859633
693,-5.554779
694,-2.556448
695,-1.6865578
696,-0.1148262
697,-0.7049605
698,11.910765
699,39.56386
700,59.564785
701,40.72326
702,60.365227
703,107.140495
704,289.14987
705,434.90167
706,481.15457
707,583.56
708,581.39886
709,504.64548
710,293.43738
711,277.98114
712,217.48425
713,179.58105
714,94.018715
715,45.068916
716,14.703094
717,2.2032852
718,0.989364
719,0.94653726
