absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,wind_speed_w_1000hPa:ms,pv_measurement
4.775,1.272,513.975,99931.23,36.225,513.975,0.0,273.0,9.225,26169.35,0.025,61.775,99.975,24.0,0.3,0.0,0.3,0.0,0.0,1.0,0.25,1007.725,0.0,0.0,991.875,998.1,0.0,0.0,90.675,1004.325,250.0,3.45,0.0,0.02,0.775,169.61925,4.3575,0.4,274.0,99.975,10486.6,4.1749997,3.825,-1.7,0.0,0.0
4.7,1.27275,609.45,143791.0,40.625,609.45,0.0,272.84998,11.55,37379.15,0.325,691.2,99.725,24.0,0.3,0.0,0.3,0.0,0.0,1.0,0.0,1008.175,0.0,0.0,992.3,998.5,0.0,0.0,89.9,1004.775,250.0,3.75,0.0,0.02,0.3,183.61775,4.75325,0.32500002,274.0,99.8,19637.074,4.05,3.675,-1.75,0.0,0.0
4.6749997,1.2745,803.4,127471.8,27.825,803.4,0.0,272.75,7.925,35082.0,0.2,977.45,99.725,24.0,0.3,0.0,0.3,0.0,0.0,1.0,0.5,1008.8,0.0,0.0,992.975,999.2,0.0,0.0,90.25,1005.425,250.0,3.9,0.0,0.012499999,0.375,197.5595,3.52,0.2,273.8,99.85,19683.625,3.9250002,3.75,-1.1,0.0,0.0
4.55,1.2765,1164.4,62238.176,6.625,1164.4,0.0,272.35,1.625,17183.55,0.0,348.05,100.0,24.0,0.3,0.0,0.3,0.0,0.0,0.75,1.0,1009.2,0.0,0.0,993.4,999.65,0.0,0.0,89.4,1005.9,250.0,4.075,0.0,0.0,0.525,211.25424,0.747,0.25,273.425,100.0,14246.85,3.95,3.9,-0.425,0.0,0.0
4.425,1.2774999,1527.0,5879.3,0.0,1527.0,0.0,271.95,0.0,2899.9001,0.0,0.0,99.825,24.0,0.45000002,0.3,0.6,0.3,0.3,0.0,1.0,1009.525,0.0175,0.75,993.75,999.95,0.0,0.0,87.25,1006.25,250.0,4.35,0.0,0.0,0.375,224.60275,-3.37725,0.25,273.4,99.925,19194.975,4.225,4.225,-0.22500001,0.0,0.0
4.3250003,1.279,1751.675,0.0,0.0,1751.675,0.0,271.625,0.0,0.0,0.0,0.0,95.675,24.0,1.15,0.75,1.35,1.05,1.05,0.0,1.0,1009.85,0.0175,0.75,994.15,1000.35,0.0,0.0,85.775,1006.65,250.0,4.6,0.0,0.0,0.175,237.633,-8.60025,0.15,273.375,96.45,28283.775,4.55,4.55,0.05,0.0,0.0
4.25,1.281,1744.275,0.0,0.0,1744.275,0.0,271.35,0.0,0.0,0.0,0.0,90.65,24.0,1.8,0.75,2.1,1.8,1.8,0.0,1.0,1010.275,0.0,0.0,994.55,1000.8,0.0,0.0,85.3,1007.075,250.0,4.8,0.0,0.0,0.1,250.50525,-14.63225,0.1,273.34998,90.65,35809.676,4.325,4.3,0.375,0.0,0.0
4.2,1.28375,1738.8501,0.0,0.0,1738.8501,0.0,271.15002,0.0,0.0,0.0,0.0,79.55,24.0,2.125,0.325,2.4499998,1.8249999,2.125,0.0,1.0,1010.65,0.0,0.0,994.95,1001.2,0.0,0.0,85.85,1007.5,250.0,4.95,0.0,0.0,0.075,263.49576,-21.167,0.1,273.15002,79.55,38109.273,3.95,3.85,0.9,0.0,0.0
4.2,1.28475,1691.725,0.0,0.0,1691.725,0.0,271.15002,0.0,0.0,0.0,0.0,56.225,24.0,2.125,0.0,2.4499998,1.075,2.125,0.0,1.0,1010.8,0.0,0.0,995.1,1001.35,0.0,0.0,85.125,1007.6,250.0,5.05,0.0,0.0,0.0,276.9905,-27.87175,0.0,273.2,56.225,43371.65,4.1,3.7,1.625,0.0,0.0
4.1,1.28425,1572.35,0.0,0.0,1572.35,0.0,270.875,0.0,0.0,0.0,0.0,72.7,24.0,2.125,0.0,2.4499998,0.325,2.125,0.0,1.0,1010.775,0.0,0.0,995.05,1001.325,0.0,0.0,82.05,1007.6,250.0,5.1,0.0,0.0,0.0,291.47226,-34.369247,0.0,273.4,72.7,45915.227,4.125,3.7,1.8,0.0,0.0
3.9,1.285,1452.475,0.0,0.0,1452.475,0.0,270.2,0.0,0.0,0.0,0.0,92.525,24.0,2.125,0.0,2.4499998,0.0,1.8249999,0.0,1.0,1010.75,0.0,0.0,995.0,1001.25,0.0,0.0,79.825,1007.525,250.0,5.1,0.0,0.0,0.0,307.473,-40.20475,0.0,273.275,93.35,48186.45,4.2,3.65,2.15,0.0,0.0
3.8,1.285,1372.8251,0.0,0.0,1372.8251,0.0,270.0,0.0,0.0,0.0,0.0,97.25,24.0,2.125,0.0,2.4499998,0.0,1.075,0.0,1.0,1010.85,0.0,0.0,995.0,1001.3,0.0,0.0,79.025,1007.6,250.0,5.125,0.0,0.0,0.05,325.4115,-44.82325,0.025,273.025,98.55,47890.426,4.45,3.625,2.5,0.0,0.0
3.8,1.28475,1367.05,0.0,0.0,1367.05,0.0,269.925,0.0,0.0,0.0,0.0,97.675,24.0,2.125,0.0,2.4499998,0.0,0.325,0.0,1.0,1010.95,0.0,0.0,995.07495,1001.35,0.0,0.0,78.475,1007.625,250.0,5.25,0.0,0.0,0.17500001,345.2395,-47.62225,0.125,272.9,98.5,38057.977,4.775,4.15,2.35,0.0,0.0
4.025,1.2835,1373.35,0.0,0.0,1373.35,0.0,270.57498,0.0,0.0,0.0,0.0,99.775,24.0,2.125,0.0,2.4499998,0.0,0.0,0.0,1.0,1011.05,0.0,0.0,995.275,1001.525,0.0,0.0,81.625,1007.8,250.0,5.45,0.0,0.0,0.35000002,96.089005,-48.12925,0.175,273.0,99.775,23382.025,4.75,4.6499996,0.875,0.0,0.0
4.3500004,1.28275,1422.75,0.0,0.0,1422.75,0.0,271.65,0.0,0.0,0.0,0.0,99.0,24.0,2.125,0.0,2.4499998,0.0,0.0,0.0,1.0,1011.05,0.0,0.0,995.25,1001.525,0.0,0.0,87.25,1007.8,250.0,5.325,0.0,0.0,0.3,25.12525,-46.60925,0.1,273.0,99.0,20778.375,4.5,4.475,0.3,0.0,0.0
4.2,1.28275,1542.275,0.0,0.0,1542.275,0.0,271.15002,0.0,0.0,0.0,0.0,95.9,24.0,2.125,0.0,2.4499998,0.0,0.0,0.0,1.0,1010.65,0.0,0.0,994.85,1001.05,0.0,0.0,85.375,1007.35,250.0,4.95,0.0,0.0,0.175,44.066,-42.803,0.1,272.975,95.975006,28477.926,4.725,4.4,1.6750001,0.0,0.0
4.1,1.282,1643.075,0.0,0.0,1643.075,0.0,271.0,0.0,0.0,0.0,0.0,89.5,24.0,1.925,0.1,2.4,0.1,0.1,0.0,1.0,1010.3,0.0,0.0,994.5,1000.75,0.0,0.0,83.2,1007.025,250.0,5.05,0.0,0.0,0.1,60.994,-37.4835,0.1,273.34998,89.55,33744.0,4.975,4.8,1.3,0.0,0.0
4.1749997,1.2815,1670.975,0.0,0.0,1670.975,0.0,271.15,0.0,0.0,0.0,0.0,87.875,24.0,1.875,0.7,3.0,0.8,0.8,0.0,1.0,1010.3,0.0,0.0,994.5,1000.725,0.0,0.0,84.25,1007.0,250.0,5.1749997,0.0,0.0,0.1,76.157,-31.24375,0.075,273.45,87.875,34718.176,4.9,4.875,0.47500002,0.0,0.0
4.3,1.281,1590.825,0.0,0.0,1590.825,0.0,271.4,0.0,0.0,0.0,0.0,93.1,24.0,2.1,0.95,3.9,1.75,1.75,0.0,1.0,1010.575,0.03,1.5,994.75,1001.025,0.0,0.0,85.05,1007.25,250.0,5.4,0.0,0.0,0.175,90.067245,-24.588001,0.1,273.5,93.1,34522.676,4.9,4.9,0.1,0.0,0.0
4.3500004,1.281,1510.025,0.0,0.0,1510.025,0.0,271.625,0.0,0.0,0.0,0.0,95.55,24.0,2.4,0.65,4.575,2.3,2.4,0.0,1.0,1010.875,0.0,0.0,995.05,1001.3,0.0,0.0,85.85,1007.6,250.0,5.6499996,0.0,0.0,0.2,103.2445,-17.9275,0.1,273.475,95.55,31351.15,4.95,4.925,0.049999997,0.0,0.0
4.375,1.28175,1486.075,0.0,0.0,1486.075,0.0,271.85,0.0,0.0,0.0,0.0,90.95,24.0,2.4,0.0,4.575,1.65,2.4,0.0,1.0,1011.125,0.0,0.0,995.3,1001.525,0.0,0.0,87.4,1007.8,250.0,5.65,0.0,0.0,0.15,116.125496,-11.61225,0.1,273.3,90.95,30214.9,4.875,4.825,-0.25,0.0,0.0
4.3,1.283,1557.925,0.0,0.0,1557.925,0.0,271.6,0.0,0.0,0.0,0.0,79.1,24.0,2.45,0.05,4.625,0.7,2.45,0.0,1.0,1011.475,0.0,0.0,995.65,1001.925,0.0,0.0,87.7,1008.175,250.0,5.425,0.0,0.0,0.1,129.0405,-5.95975,0.05,273.25,79.1,34324.297,4.6,4.6,0.125,0.0,0.0
4.3500004,1.2825,1630.175,123.45,0.45,1630.175,0.0,271.67502,0.3,537.4,0.0,0.0,84.4,24.0,2.8,0.35,4.975,0.4,2.7,0.25,1.0,1012.175,0.0,0.0,996.325,1002.55,0.0,0.0,87.95,1008.85,250.0,5.5,0.0,0.0,0.075,142.2085,-1.2675,0.1,273.2,84.524994,34767.35,4.925,4.8500004,-0.825,0.0,0.0
4.45,1.281,1686.7,24600.426,16.475,1686.7,0.0,271.95,11.325001,20921.0,0.0,0.0,84.425,24.0,3.125,0.32500002,5.3,0.725,2.375,1.0,1.0,1012.725,0.0,0.0,996.8,1003.075,0.0,0.0,87.45,1009.375,250.0,5.6,0.0,0.0,0.1,155.7235,2.19225,0.075,273.34998,85.375,31995.125,4.8,4.65,-1.25,0.0,0.0
4.45,1.28075,1716.175,94315.52,34.5,1716.175,0.0,272.025,25.975,67118.8,6.95,12493.775,75.025,24.0,3.3,0.15,5.45,0.825,1.525,1.0,0.25,1013.2,0.0,0.0,997.3,1003.5,0.0,0.0,86.0,1009.8,250.0,5.7,0.0,0.0,0.05,169.5465,4.19525,0.075,273.55,77.375,37444.65,4.0,3.95,-0.525,0.0,0.0
4.25,1.2825,1745.6,137335.1,38.875,1745.6,0.0,271.4,28.224998,97541.77,14.15,37965.125,50.325,24.0,3.3,0.0,5.45,0.47500002,0.875,1.0,0.0,1013.875,0.0,0.0,997.975,1004.225,0.0,0.0,81.9,1010.525,250.0,5.7,0.0,0.0,0.0,183.52625,4.60075,0.0,273.6,51.85,47101.0,3.5,3.425,0.65,0.0,0.0
4.1,1.28375,1742.6,121819.03,26.5,1742.6,0.0,270.925,18.275,83714.2,4.5,33599.7,48.775,24.0,3.3,0.0,5.45,0.15,0.875,1.0,0.5,1014.175,0.0,0.0,998.225,1004.5,0.0,0.0,79.175,1010.8,250.0,6.1,0.0,0.0,0.0,197.4515,3.379,0.0,273.65,60.075,51714.824,3.5749998,3.45,0.825,0.0,0.0
4.1,1.2835,1685.975,58333.35,5.925,1685.975,0.0,270.875,4.75,41482.2,0.0,8128.325,74.75,24.0,3.3,0.0,5.45,0.0,0.825,0.75,1.0,1014.1,0.0,0.0,998.225,1004.475,0.0,0.0,78.4,1010.775,250.0,6.6,0.0,0.0,0.0,211.13199,0.61800003,0.0,273.75,98.725,51390.953,3.45,3.45,-0.1,0.0,0.0
4.075,1.2872499,1633.05,4958.75,0.0,1633.05,0.0,270.8,0.0,8574.6,0.0,0.0,85.35,24.0,3.2,0.0,5.15,0.0,0.47500002,0.0,1.0,1014.35,0.0,0.0,998.55,1004.85,0.0,0.0,81.55,1011.15,250.0,6.6,0.0,0.0,0.0,224.46875,-3.4945002,0.05,273.375,99.65,48028.824,3.1,3.1,0.1,0.0,0.0
4.1,1.28825,1502.825,0.0,0.0,1502.825,0.0,270.9,0.0,0.0,0.0,0.0,91.525,24.0,2.525,0.0,4.4,0.0,0.15,0.0,1.0,1014.6,0.0,0.0,998.775,1005.07495,0.0,0.0,83.1,1011.375,250.0,6.6,0.0,0.0,0.0,237.4895,-8.707,0.05,273.34998,99.875,46036.55,2.85,2.6,0.95,0.0,0.0
4.025,1.2895,1247.775,0.0,0.0,1247.775,0.0,270.65,0.0,0.0,0.0,0.0,93.4,24.0,1.525,0.0,3.625,0.0,0.0,0.0,1.0,1014.675,0.0,0.0,998.8,1005.1,0.0,0.0,82.35,1011.4,250.0,6.6,0.0,0.0,0.0,250.35251,-14.73175,0.0,273.425,96.575,48695.426,2.9,2.0,2.1,0.0,0.0
3.9,1.29025,989.725,0.0,0.0,989.725,0.0,270.375,0.0,0.0,0.0,0.0,94.225,24.0,0.875,0.0,3.3,0.0,0.0,0.0,1.0,1014.8,0.0,0.0,999.0,1005.275,0.0,0.0,80.275,1011.625,250.0,6.6,0.0,0.0,0.0,263.3345,-21.262249,0.025,273.425,94.45,50896.574,3.55,2.35,2.65,0.0,0.0
4.0,1.2885001,763.0,0.0,0.0,763.0,0.0,270.5,0.0,0.0,0.0,0.0,98.575,24.0,0.875,0.0,3.3,0.0,0.0,0.0,1.0,1015.0,0.0,0.0,999.125,1005.4,0.0,0.0,79.275,1011.7,250.0,6.6,0.0,0.0,0.0,276.82074,-27.967,0.1,273.6,98.675,51289.1,3.85,2.6,2.85,0.0,0.0
4.1,1.287,587.575,0.0,0.0,587.575,0.0,270.95,0.0,0.0,0.0,0.0,99.25,24.0,0.825,0.0,3.3,0.0,0.0,0.0,1.0,1014.9,0.0,0.0,999.1,1005.375,0.0,0.0,81.05,1011.7,250.0,6.6,0.0,0.0,0.0,291.294,-34.469498,0.15,273.67502,99.4,50091.723,3.9,2.45,3.05,0.0,0.0
4.225,1.2855,409.775,0.0,0.0,409.775,0.0,271.25,0.0,0.0,0.0,0.0,99.399994,24.0,0.47500002,0.0,3.3,0.0,0.0,0.0,1.0,1014.525,0.0,0.0,998.75,1005.025,0.0,0.0,82.375,1011.325,250.0,6.6,0.0,0.0,0.0,307.2905,-40.3155,0.2,273.7,99.875,49409.676,3.625,1.9499999,3.025,0.0,0.0
4.3,1.28475,431.9,0.0,0.0,431.9,0.0,271.45,0.0,0.0,0.0,0.0,93.175,24.0,0.15,0.0,3.3,0.0,0.0,0.0,1.0,1013.8,0.0,0.0,998.0,1004.3,0.0,0.0,82.65,1010.6,250.0,6.6,0.0,0.0,0.0,325.2345,-44.94925,0.075,273.975,99.850006,50308.574,3.35,1.15,3.1,0.0,0.0
4.225,1.286,785.15,0.0,0.0,785.15,0.0,271.25,0.0,0.0,0.0,0.0,87.075,24.0,0.0,0.0,3.3,0.0,0.0,0.0,1.0,1013.1,0.0,0.0,997.35,1003.65,0.0,0.0,83.1,1009.95,250.0,6.6,0.0,0.0,0.0,345.08374,-47.766,0.0,274.25,99.875,49839.125,3.275,0.975,3.125,0.0,0.0
4.1,1.28525,1149.125,0.0,0.0,1149.125,0.0,270.85,0.0,0.0,0.0,0.0,93.100006,24.0,0.0,0.0,3.3,0.0,0.0,0.0,1.0,1012.55,0.0,0.0,996.9,1003.15,0.0,0.0,80.725,1009.45,250.0,6.6,0.0,0.0,0.0,95.97125,-48.288498,0.05,274.45,100.0,51370.125,3.425,1.1,3.25,0.0,0.0
4.15,1.281,1338.45,0.0,0.0,1338.45,0.0,271.05,0.0,0.0,0.0,0.0,98.575,24.0,0.0,0.0,3.3,0.0,0.0,0.0,1.0,1011.75,0.0,0.0,996.0,1002.25,0.0,0.0,78.2,1008.525,250.0,6.6,0.0,0.0025,0.15,25.04275,-46.7725,0.15,274.725,100.0,40805.1,3.55,1.025,3.4,0.0,0.0
4.425,1.275,1228.875,0.0,0.0,1228.875,0.0,271.95,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,3.3,0.0,0.0,0.0,1.0,1010.575,0.0,0.0,994.775,1001.0,0.0,0.0,80.05,1007.25,250.0,6.7,0.0,0.01,0.4,44.019753,-42.9725,0.22500001,274.9,100.0,19172.125,3.4,0.625,3.4,0.0,0.0
4.5,1.2725,1118.325,0.0,0.0,1118.325,0.0,272.2,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,3.2,0.0,0.0,0.0,1.0,1009.35,0.0,0.0,993.65,999.85,0.0,0.0,80.4,1006.075,250.0,6.8250003,0.0,0.02,0.4,60.97125,-37.65525,0.275,275.4,100.0,11611.525,3.4,0.45,3.375,0.0,0.0
4.5,1.2695,1015.25,0.0,0.0,1015.25,0.0,272.2,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,2.525,0.0,0.0,0.0,1.0,1007.9,0.0,0.0,992.225,998.4,0.0,0.0,78.075005,1004.6,250.0,6.9,0.0,0.03,0.47500002,76.14675,-31.4165,0.2,276.125,100.0,2358.0,3.475,0.22500001,3.475,0.0,0.0
4.5,1.2655001,926.4,0.0,0.0,926.4,0.0,272.275,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,1.525,0.0,0.0,0.0,1.0,1006.275,0.0,0.0,990.75,996.925,0.0,0.075,76.8,1003.1,250.0,6.925,0.0,0.03,0.7,90.060745,-24.76075,0.1,276.65,100.0,1667.55,3.525,-0.025,3.525,0.0,0.0
4.6,1.2625,838.95,0.0,0.0,838.95,0.0,272.45,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.875,0.0,0.0,0.0,1.0,1004.825,0.0,0.0,989.275,995.425,0.0,0.1,76.425,1001.6,250.0,7.025,0.0,0.035,0.95,103.235504,-18.1005,0.1,277.075,100.0,1364.075,3.8,-0.175,3.8,0.0,0.0
4.55,1.26,720.95,0.0,0.0,720.95,0.0,272.425,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.875,0.0,0.0,0.0,1.0,1003.75,0.0,0.0,988.15,994.35,0.0,0.1,75.625,1000.5,250.0,6.525,0.0,0.04,1.2,116.10925,-11.7845,0.1,277.2,100.0,1046.025,4.4,0.075,4.4,0.0,0.0
4.5,1.26,549.175,0.0,0.0,549.175,0.0,272.25,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.825,0.0,0.0,0.0,1.0,1002.9,0.0,0.0,987.35,993.5,0.0,0.1,75.75,999.65,250.0,5.55,0.0,0.04,1.275,129.01375,-6.1305,0.1,277.0,100.0,898.45,4.8,0.024999999,4.775,0.0,0.0
4.575,1.25775,381.675,37.8,0.125,381.675,0.0,272.5,0.025,63.4,0.0,0.0,100.0,24.0,0.0,0.0,0.47500002,0.0,0.0,0.25,1.0,1001.625,0.0,0.0,986.1,992.225,0.0,0.2,75.725,998.4,250.0,5.45,0.0,0.04,1.1750001,142.168,-1.4352499,0.1,277.4,100.0,849.65,5.125,-0.075,5.125,0.0,0.0
4.725,1.25425,284.975,21351.375,15.15,284.975,0.0,273.0,2.8999999,5334.175,0.0,0.0,100.0,24.0,0.0,0.0,0.15,0.0,0.0,1.0,1.0,1000.875,0.0,0.0,985.475,991.6,0.0,0.125,74.55,997.725,250.0,5.3250003,0.0,0.045,0.90000004,155.666,2.02925,0.3,278.45,100.0,1031.8,4.9,1.0,4.8,0.0,0.0
5.05,1.25025,304.075,89056.35,32.850002,304.075,0.0,273.95,6.175,16380.9,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1000.5,0.0,0.0,985.15,991.25,0.0,0.1,76.125,997.35,250.0,5.1499996,0.0,0.057499997,0.425,169.47125,4.0395,0.6,279.6,100.0,1337.65,4.75,1.575,4.45,0.0,0.0
5.45,1.246,327.05,131306.34,37.25,327.05,0.0,274.95,5.85,21619.125,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.4,0.0,0.0,985.07495,991.15,0.0,0.125,77.9,997.25,250.0,4.925,0.0,0.067499995,0.35,183.433,4.45525,0.65,280.55,100.0,1804.4,4.5,2.25,3.8500001,0.0,0.0
5.9,1.2390001,349.4,116562.6,25.25,349.4,0.0,276.2,6.65,22509.1,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1000.5,0.0,0.0,985.275,991.3,0.0,0.075,77.2,997.4,250.0,4.575,0.0,0.09,0.0,197.3425,3.2445,0.45,281.825,100.0,13681.3,4.375,3.4,2.725,0.0,0.0
6.3250003,1.2344999,366.425,54688.55,5.225,366.425,0.0,277.25,1.575,14843.325,0.0,0.0,99.825,24.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1000.775,0.0,0.0,985.6,991.65,0.0,0.025,76.65,997.65,250.0,4.175,0.0,0.1,0.0,211.009,0.4965,0.075,282.75,100.0,22125.275,4.525,4.075,1.875,0.0,0.0
6.45,1.234,384.65,4090.35,0.0,384.65,0.0,277.525,0.0,2843.25,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.15,0.0,0.0,985.975,992.025,0.0,0.05,77.125,998.05,250.0,3.7,0.0,0.105000004,0.0,224.33475,-3.60425,0.0,282.82498,100.0,7087.1,4.8,4.6,1.275,0.0,0.0
6.525,1.2355,386.65,0.0,0.0,386.65,0.0,277.7,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1001.6,0.0,0.0,986.4,992.45,0.0,0.0,79.100006,998.5,250.0,3.2,0.0,0.1,0.0,237.3465,-8.8064995,0.0,282.67502,100.0,7305.575,4.6749997,4.55,1.1750001,0.0,0.0
6.6,1.2365,360.125,0.0,0.0,360.125,0.0,277.8,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1002.15,0.0,0.0,986.95,992.95,0.0,0.025,80.65,999.05,250.0,2.65,0.0,0.1,0.0,250.20125,-14.82375,0.0,282.575,100.0,5447.425,4.45,4.35,1.1500001,0.0,0.0
6.6,1.237,333.55,0.0,0.0,333.55,0.0,277.8,0.0,0.0,0.0,0.0,99.925,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1002.5,0.0,0.0,987.3,993.35,0.0,0.05,81.4,999.425,250.0,2.15,0.0,0.1,0.0,263.1745,-21.35,0.0,282.45,100.0,5670.3,4.225,4.1,1.1500001,0.0,0.0
